fname,text,score
1262_020034413.docx,"i believe we could stop poverty because san fransco is not poor and we can donate some to kenya we can also protest in africa to start giving them more money and to stop paying schools they deserve to get more money i think kanya should get the same money we get. right now they should give free medicines to people that have the disease because some many kids are dieing everyday and that should stop. i also agree that they should start working and helping in kenya it should be like san francisco.
	they should make more schools for the future because more and more kids are going to be born and when they grow up maybe the schools are going to be packed and they won't be able to go to a school and learn and they should also not pay to go to schools. i think that the people that work in kenys should get payed more because some of them work in the sun and to grow more food and there's other people who have dangerous jobs and even die in their jobs.",1
138691Y2_000490824.docx,"yes, winning the fight against poverty is achievable in our lifetime because the kids, need to go to school to get their education but they need more money for supplies. they also need more money for some water also some fertelizer so they could get to grow crops and get the food that they need. the hospital needs money for the patients and get the medication they need. they need to get provided with nets for the mosquietoes because if they don’t the hospital doesnt have money to get the medician for the cure. i think the people all around he world needs to start caring for them a little more so they could get the stuff they need that has not been provided for them.",1
123501Y3_000531729.docx,"the author convinced me ""winning the fight against poverty is achievable in our our lifetime."" i think the author convinced me because if you win a fight you achieve your goals. i think when you achieve your goals you did something important. if you achieve your goals then you can set new ones. 
some examples are when the sauri hospital got free medicina. the water is connected to the hospital. bed nets are used in every sleeing site. the attendance rate is way up.
i think the author is trying to tell readers is never give up. set your goals until you reach them. also, when you reach your goals you can make a difference. also, don't stop believing.",2
108501Y1_000484657.docx,"intro
the first reason it is important to/for kids to know about kenya is because when/as we get older then we can helpout with kenya because we have lots of materials & resources that they don’t have. another reason it is important to/for kids to know about kenya is because in there time/at this present time maybe if we look back into there history & see that they were poor had no food/no $ then maybe we all can learn a lesson from this because like i said, we have more advanced & better & more qualified materials than them, and these days kids & adults are spoiled, we have phones stores, houses & even shoes and clothes but they dont have any of that, but since we do we go out and by ourselves nice things with lots of money & don’t even think about giving some that $ to kenya where we can donate it to help there country because there in need.
2004
as i know that in 2004 a country called kenya a country in south africa, was a very poor & impoverished place. then the millenium there were many problem for ex: farmers crops died because they didnt have any $, people died from hunger parents couldnt afford school fees, & at school had no midday meals (lunch) on no school supplies. but children still were determined to learn & get a good education. another thing was that when patients went to hospitals, there were no doctors, water/electricity, and on top of that children & adults had to share beds. (there were 2-3 kids in one bed, & there was no $ for one drame. also in 2004 there was a diseases called malaria, a disease when a person is betten by a mosquito. but the good thing was that it was preventable, people had bed nets which cover up the bed so that no insects could get in but not many people had one. the country was just terrible. 
2008
then 2008 4 years later the /sauri was /had changed over the years, people didn’t have to pay for school fees farmers had fertilizer & seed to grow crops, generators at the hospital were used to/for electricity. the hospital had medicine, schools serve meals & attendance at school is up. which is very important because all kids didn’t go to school then they wouldnt have a good education/they wouldn’t learn anything. and if they didn’t have a education then when they get older they wouldnt have a job.
conclusion
it seem that over the yrs that many people & places have gotten better & progressed that’s good how/what happed. because the millenium was a very bad time for them but they still made it. many people dud in millenium but now that there country is better, we still need to help out a bit because/until there country is as good as ours.",4
126501Y3_000566368.docx,"yes, because just in 4 years kids can go to school, eat more. and hospitals have medicine.(which is free) water is connected to the hospitals. bed nets are at every sleeping site in sauri. if they can do all that in 4 years we can end poverty because if everyone pitchs in than we can end poverty before 2014 is over. you can send some food to kids in sauri or money",2
1061_020031721.docx,"the aurthor convinced that proverty can be solved because we can help someone everyday. also we can solve proverty by being unselfish and helping others. another way of wining against proverty is to donate food, supplies, cloths, and other things they need like water or medcine. lots of people need these things, and who knows, you can save a life.",1
106601Y2_000490198.docx,"no, the author did not convince me. there just isn’t enough money, and we have other problems. no time and/or money to are.",1
1031_020029754.docx,"no, it did convince me because it started in 2004 and it got better in 2008. in 2004 some people couldn’t afford medicine and they were sick. but in 2008 everything was better like free education and everything. but between 2004 – 2008 why didn’t it get better in 2005, 2006, and 2007? in the article it said “bed nets could save millions of lives” and “the solutions were simple and yet 20,000 kids die from the disease.” why couldn’t they get them for free so less people have to die. this is how people can help them instead the people from other countries can give medicine to the people in sauri for a lower price. the people from other countries could give food to sauri and give school supplies. but during the past years in 2005, 2006, and 2007 did anybody do anything about it? no. but in 2008 it finally happened. this is why i am not convinced.",2
112601Y1_000481566.docx,"kenya has a chance
everyone on earth deserves a lifetime or a chance to live to be an adult. sadly most kids in kenya did not have a chance. one reason is that the medical conditions in hospitals are not adequate to meet the patient’s simple needs. back in 2000 there was no basic medicines that were in kenya. a disease called malaria is easilly prevented by such basic medicine. now today they have medicine and an innovative and cheap technology that is called a bed net it only cost $5. 
	another reason for the death of people is that they cannot grow good crops to eat. there was no fertilizer and irrigation 10 years ago in kenya. now today kenyan’s produce many crops and people don’t go hungry
	the final reason for people being in poverty is that they cannot afford school fees also school don’t have the right supplies. there was no midday meal. today they have fixed the problems and there are no school fees. there is now a middday meal and kids learn well. 
	i know that people are getting healthier and kenya is becoming less impoverish. i hope that everyone knows what is going on in africa and they will contribute to help.",3
118502Y2_000539923.docx,"there might be a chance the author had put arquqment of winning the fight of poverty. one example is that people in kenya need money to buy meds if there are no meds they can die of malaria. second reason is if there is not food the'd die of hunger of thirst on being unhealthy for a bad body. you could also have a disiesed body wihih food not there to help to become medical things to help you live with a desk body. third. there is no fresh clean drinks water in kenya they have stren ill nesses because of contamid unhealthy water that is pulled from the gound from soil, this water can not be sulled with germs and virses that can kill you. fourth. they have tattered and torn clothes which will also make you sick with it unheatly ways with halo shaking in your pants. fifth. the hospitals are not helping the kids and adults that can easily laking dumaor from malaria. without help and they may die at a fast rate if mo doctor is not there and no malaria daef will over rush + to a very high level in illness chart with eyephon or 1-10 mostly five will live in check people are dying with illnesses more harmful than mala & no money meane no survive in the medicine organizaton or a progress noon can we without proper help sense.
underline words = ureadable",2
118502Y2_000529020.docx,"they need more school stuff, medoson for people, more food, and some people are dieing from hugs and kids are dieing from a sick life for kids and adults too are geting sick from haveing no doctors haveing no bathroom and no good food like we do so it will best to give them school stuff, medoson,  more food so they will be just like us so let help them stay live.",1
1291_020028565.docx,"the author did convinced me that ""winning the fight against poverty is achievable in our lifetime,"" because in the article, it said, ""the people of sauri have made amazing progress in just four years."" texts in the article convinced me like,"" there are many solutions to the problem that keep people impoverished,"" and ""what it will really take is for the world to work together to change poverty-stricken areas for good."" these sentences convinced me that you can win against poverty.",2
132501Y2_000522180.docx,"no, because in the article she says that they had tattered clothes. it also says that malaria can kill kids, they are in proverty and they have no water or electricity so crops die.",1
133501Y3_000529923.docx,"yes, the author did convince me that winning the fight against poverty is achievable in our lifeime because in the text the millenium village project people are confident because they are already setting more goals just to help poverted people when they can be enjoying their time. also the project already helped the sauri people in poverty make a better hospital that is free from charge to cure people that are diagnosed with diseases. what also made me convinced was that the project helped with water and fertilizer. this tells me the fight against poverty will be achievable. in schools they now have supplies that will help them get more education and learn in a funner way. midday lunches are now available also. every bed in sauri has a bed net to keep malaria mosquiotes out of peoples system. all this convinced me that winning the fight against poverty is achievable in our life-time.",3
1151_020031283.docx,after reading the article i think it is achievable because you just have to wait and get more money so you won't be poor. the other people just have to do the same thing and then buy nets to prevent the malaria so you won't die. i think it is achievable because the hospital should get more money too and then buy the medicine the people need. it is achievable the farmers have stable food suply so people won't die of hunger.,2
106591Y3_000510614.docx,with the,1
118502Y2_000556809.docx,"i thin the author gave enough information that winning the argumentis achivdble in our lifetime. i think if the people of kenya can win the argument then so can the people of the united states. for example the people of kenya had no food, an unhealthy hospital, no food and a school without enough supplies.",1
1181_020010421.docx,"no. i do not think that winning the fight against poverty is achievable in their lifetime is convincing me because the poor kids needs education but their parent cant afford school fees. i think schools should not be charge for kids to get in i think the goverment should pay for all kids wants. if they do not have a goverment they should create a fund raiser to make money so they can give students their wants not only kids but parents. parents are suffering right now with no food or money last but not least jobs. i think this is all wrong and that they should help kenya. the health is also not good over there. they do not have medicine because they cannot afford it. if i was there i would do every little thing to help out and give lots of money. the people does not deserve this, this is not their faults. i wish i can donate millions of money, but its not up to me. i would travel with confidence to help people out there to get a life they want and deserve.",2
1001_020059234.docx,"i think winning the fight against poverty is achivable because we have people helping in the millennium villiages project. we can give them food, medicine, school supplies, and money to buy the things they need to support their families. we can provide them with medicine to cure malaria so people dont die. we can provide them with fertilizer so they can grow food. we can give them school supplies so kids can learn eaiser. if the kids get a good education they can get jobs and build a better society.",2
128691Y2_100258541.docx,"did the author convince you that winning the fight against poverty is acheivable in our lifetime.
i really think that the author convince’s me that winning the fight against poverty is achiveable in our lifetime because when they barely have a dollar a day, they cant survive off of food. in 2004 they didn’t have enough rooms or beds for the sick patients, they would lay in the beds with other sick patients, that cannot even afford to pay their bills or debts. poverty plan is to do better for it’s community. with help from the millennium villages project, the place would change dramatically in the coming years. the millennium villages project helped reach the milennum development goals. it helped them get things they really needed. like school supplies, fertilizer, and medicine. many people and their families died because they doesn’t have the resources to survive on those needs. they finally helping out, they got the supplies they needed. they made amazing progress in just four years. dramatic changes have occured in 80 villages across sub-saharan africa. the progress is outraging encouragements to supporters of the mllennium villages project. there are many solutions to the problems the problems that keep people impoverished. they worked together to change poverty-stricken areas for good. the proverty changed everyone life throughtout the years because they showed great improvements with the history & developements in the world. now sauri, kenya has everything to support their people and community.",2
1291_020028457.docx,"yes, the author convinced me that “winning the figh against poverty is achievable in our lifetime”. an example is “the people of sauri have made amazing progress in just four years. i wrote this quote because everything doesn’t change all at one it takes time, and in this article it took 4 years for them to change. as a result, when they said that “the yala sub-district hospital has medicine, free of charge, for all of the most common diseases” i think it helped a lot of people that are sick and people that couldn’t afford the money to buy medicine. even when they said that “the hunger crisis has been addressed with fertilizers and seeds, as well as the tools needed to maintain the food supply”. i wrote this quote because the farmers didn’t have to worry that much about not having that much food to feed there family and about their crops dying. i think winning the fight against poverty is achievable in many ways but it takes time.",2
1292_020030387.docx,"winning a fight againts poverty is achivible because people work hard, the yala sub_district hospitals has medicine free charge, water is connected to the hospital ""wich also has a generator of electricity bed nets are used in every sleeping site in sauri",2
115501Y2_000490520.docx,"yes it is possible to fight poverty because the author gave all these examples of how the sauri's economy has changed over the four years, for example, more kids are going to school because there are no school fees and the school has lunch, there are more crops because the farmers had enough money to buy fertilizer and have water to grow crops and feed their families, now all of the beds have bed nets to prevent malaria, and the hospital in sauri now has medicine and water for the patients. this shows that the sauri have improved their economy and have won the war against poverty because of chairitys donating to their country. it is achivable because over those four years alot has changed for that country.",3
106692Y2_000468704.docx,"the author did because the author stated that there are diseases such as: malaria which kills some people in sauri + she provided some of feelings of being scarced + sad. i feel that maybe earlier in the year before 2015 proverty can be achieved with the help of many people, if some people donated money to sauri many people could have maybe bed nets or a better education. i believe if sauri could make good projess in just 4 years from 2004-2008 then i truely believe that proverty could end in my lifetime. in the text it stated how some people have tattered clothing + how a woman was sitting on the ground selling bannanas. i know that with this program the children could have more than 1 piece of clothing + not no tattered clothing or even a woman selling bannanas on the ground instead she should be selling bannas in a store. i know that this program could achieve this goal.",2
128691Y3_100314990.doc,"yes, i think that winning the fight against poverty is acheivable in our lifetime because in many countries there are some people cant even afford to go to school or get a pair of shoes. in this text it tells you about all the different struggles going on in this country and i think we can help them get out of poverty by joining the millennium villages project. the way to get them out of poverty is to assure them access to health care and help them stabalice the economy and quality of life their communities. we can also give them more beds in the hospital so they wont have to share beds. to save these people from getting sick and dieing from malaria we can buy the 5$ bed nets. also in the text it talks about how they need nessasery fertalizer so they can grow crop so they wont starve. if we do these thing we will be able to help people get out of poverty and this is the to help win the fight against poverty.",2
1251_020019179.docx,"i believe that proverty could be stop if we try. i believe this because in sauri, kenya, thevillafe have a better hospital so everyone is more healthy, the farm are more furtile and there is lot more crops, and the children will have a better education.
	the hospital has more supply and it free to everyone. everyone in the village is healthy and they will still be healthy. common disease will be gone the villiger will live longer. they will have better treatment for the disease.
	the farm are more furtile and there is a lot more crops. the village will have more food and can sell the surplus of the crops. the villager will not be hungry any moe they will have a stable amount of food.
	
	the children will have a better education. they will have a brighter future than their parents. they will not need to pay for the education. they will have a mid-day meal.
	i believe that proverty could be stop if we try. i believe this because the village suari have a better hospital, the farmland are more furtile, and the children have a great education. this tell me that is you try hard enought proverty could be stoped.",4
1182_020011095.docx,"i think that winning the war against poverty is achievable in our lifetime and there are plenty of reasons why i think so. for example, a hospital that was poor in many ways has improved by having medicine that is free of charge, it has water, and the hospital has electricity. back then those things weren’t even there. another example is that bed nets were used everywhere, there isn’t that much hunger, and shool is completely free of charge. isn’t it messed up how some rich people waste things that could make a huge difference in poor places? it isn’t fair how some people starve while others fill themselves without being grateful. this poverty is something that needs to stop, that is why we have great projects trying to end poverty by 2015 or 2025. there is a chance that it is possible by 2015 also but it takes time. it also isn’t something that can be done with the snap of a finger that’s why we have to work together to end this nightmare for poor people! (who can’t even afford a bed net.) everyone should be able to eat, drink and rest in a safe house. everyone should have the right to live well. lets end poverty!",2
134501Y1_000467315.docx,"i think it’s important for kids in the united states to learn about how life in kenya was before and after millinenum because before in kenya kids were poor they’re parents couldn’t afford them to go to school. people was poor, kids couldn’t concetrate without a midday meal and schools couldn’t serve meals to the kids. after in kenya hospitals have electricity, the schools now serve lunch to the kids, and now parents can afford their kids to go to school and learn.",2
1312_020034697.docx,"i think the author convinced me that ""winning the fight against poverty is achievable in my life."" one example from the text that supports my reason is the author did'nt give up about sauri because the millennium village project was trying to help. a second example from the text is when the author came back to sauri in 2008. she said there was amazing progress that the people of sauri made in just 4 years only. a third example from the text is the author wrote that sauris progress shows that winning the fight against poverty is achievable in our lifetime",1
112501Y2_000513512.docx,"yes, i do think the author did a convincing job to say that winning against poverty is achievable in our lifetime. the people of sauri were practically drouning in poverty. 
	the disease, malaria, has cheap medicine and bed nets to prevent malaria. the people of sauri could not purchase a 5 dollar bed net. 
	farming was a problem as well. each time farmers plant seeds, the outcome is usually dying plants. now in sauri, people own fertilizer and have money to buy seeds. i can help poverty in the world by donating money to help farming poverty around the world. 
	also, in sauri, the hospitals are disgusting. most people in the hospitals never even get treated because they could not affard it. as a citizen, i can send money and needed supplies to hospitals that are poverty stricken. 
	in my life, i can do many things to contribute to the effort to end poverty. i can donate money and supplies. i can also donate medicine to hospitals. i think that poverty should end, and we should all be equal. that is why poverty can be achieved in our lifetime.",2
128601Y1_000473675.docx,"i think that she thinks it is important because we think that nothing ever goes wrong or that we don’t care but i know i care about others.
	they were poor.
	they were sad.
	they were mad.",1
1011_020025981.docx,"based on the article, the author did convince me that “winning the fight against poverty is acheiveable in our lifetime.” i agree but doesn’t mean it is easy. by looking at the article and reading it, i know we can do it!
example:
1) in 2008, there were better progress. everyone’s life got better.
2) everyone got better, even hannah believes it will be okay and that we will win it.
3) it said that the goal should be meet in 2015 or 2025, but in 2008 it already improved a lot, so i think in 2015, there will be poverty or even none!
i also think that those people would feel happier, since they have enough to eat, they have medicine if they are sick, and thye also have school for learning. within a few year, it improved so many people’s life already, after a few more years, lots of people won’t be poor. everyone will be happy! and so are we!",2
123501Y1_000474046.docx,"i think it is important because she wanted the people of the united states to know hoe life was in kenya beacuse of the lack of stoff they have such as heat games, electronics, water, medicine, and electricty. some examples of how it was are that at night the malarial mosquitoes would infect people with malaria and die if young enough. also they did not have medicine to help fight back malaria and so many became sick and died. finnaly and worst of all the kids had no school to learn because of being poor and can’t pay school funds and the ones that do starve the whole day and barely learn anytime. however after the progam the schools served lunch had supplies and don’t have fees. also the farmers have water and fertilizer to grow sell and eat their crops. also they now have new clothes medicine, and electricty for the hospital to treat malaria so everyone stays happy health and fit.",3
1291_020064456.docx,"the author did convince me that “winning the fight against proverty is achievable in our lifetime.” one way she convinced me is when she said, “the people of sauri have made amazing progress in just four years.” another way the author convinced me is when she said, “the yala sub-district hospital has medicine, free of charge.” the last way the author convinced me is when she said, “there are many solutions to the problems that keep people impoverished.”
	i think that if everyone helps, we can win the fight against proverty in our lifetime.",2
109591Y2_000518890.docx,"i think that we wont win the fight against poverty becuse they will need more hospitals around the world and more food around the world. their are lots of contries in poverty so their going to need billons of dollars so it will be hard to win the fight against poverty. it took them 4 years for kenya to get better and their are lots of contries that are in poverty so it might take a long time to beat poverty but it still is possible but you would need lots of money and help but atleast they are going to help lots of contries, probaly not all of them.",1
1422_020028755.docx,"winning the fight against poverty will be hard but i belive that we will win. for example we have created the bed net so mosquitoes will not get blood from kids and to give kids malaria. malaria is the disease which kills 20,000 kids a day. but they found a cure so they can stop malaria in its tracks. also bed nets cost $5 but we can help by pro viding money to help get bed nets. 
we can also help by making sure kids get there eduation. we could give mat erials to help out all those kids in africa.",2
123501Y3_000438471.docx,"yes. the author convinced me ""winning the fight against poverty is achievable in our lifetime."" like kids in poverty, some don;t go to school because of the fees. also they don't have lunch.
now school is free. also they have lunch. another exsample is there are no electricity or running water in the hospital. now there is electricity,
mosquitoes spreads malaria. kids get it they die. adults get it they get sick. now theres a cuar for it. (amedacesda)",1
106502Y3_000531298.docx,"the author proved that we can win the fight against poverty is  achievable. in 2004, the hospital had no doctors, only had one person who ran the hospital. now in 2008, the hospital had docters and had affordable medicens. in 2004, the villagers earend $1 dollar a day and bed nets caust $5 to by. in 2008, the millennium village project put bed nets in every sleeping site in kenya. school in kenya had no lunches and school was not affordable in 2004, but now in 2008, schools were free and provided electricity and lunches. kenya in 2008 is a better life for the villagers because all the work the millennium project.",4
1202_020027366.docx,"yes, i think we can win against poverty in many ways. one example is that people can have a huge amount of money donated to the poor. another example is that the goverment can create more jobs for the poor people. another example is that, public schools can have fundraisers to help build more schools for the kids who can’t afford to go to school. there can be more hospitals the sick and more farms to grow crops or raise livestocks. the goverment can decrease the taxes or debt that citizens have. money can go to medical research instead of eletronics research, because the medical research can create more medicene and discover medicene that can save people from an unknown disease in the future.",1
103501Y2_000466074.docx,the people are working to get payed to live. if they dont get payed they will die. they need the money because kids die from mosquitoes when there sleeping. sometimes kids do there chores. they get water and they go to school. the school does not make lunch for kids. hospital are free of charge. the hospital have only one person that works there three kids have to be in one bed. lots of kids die from some hospital because they dont have the right medicines. there were no electricity and no water half of the whole villages are trying to live and others are dieing. most people die from there desced. the people are trying to make a goal for there village. there project is the millennium development goals. this is located in africa. kids die from it easily and adults get very sick.,1
1401_020017073.docx,"in this article, a brighter future, written by hannah sachs, hannah explains how a village in sauri, kenya need help for their health, school, and food issues, due to poverty. the millennium villages project was created to reach goals, “to help reach the millennium development goals.” these goals are suppose to met by 2015, other goals are set for 2025. there was plenty of work to do. in 2004, the say the yalsub-district hospital, “it was not in good shape.” there were rooms packed with patients that weren’t treated to due to either the hospital not having medicine or patients couldn’t afford it. “malaria is one disease, common in africa, that is preventable and treatable.”
as for education, “many kids in sauri did not attend school because their patents could no afford school fees.” it was difficult for them to learn with such minimal supplies (such as paper, pencils, and books), yet the students wanted to learn. that wasn’t the only situation, “as they had no midday meal”; they were learning on empty stomaches, so they had no energy left by the end of the day.
with the millennium villages project, “people of sauri have made amazing progress in just four year.” “the yala sub-district hospital had medicine, free of charge, for all of most common diseases.” they fixed their medical, irrigation, schooling, and food situations.",3
126501Y2_100263511.docx,"yes, author convince you that winning the fight agaisnt proverty is achievable in our time beacuse they need health and help them stabilize the ecomy and quality of life in their communities. villages get technical advice and practical items such as fertilzer, medicine and school supplies. and they keep hunger crisis has been addressed.",1
112601Y3_100133944.docx,"yes, i’m convinced that we can win the fight against poverty in our lifetime. if they can make a big change in 4 years we can make a change in 3 and or even bigger change by 2025.
one reason i believe we can make a change is because in just 4 years they have made a difference. hem food we aren’t in poverty and nowhere near it we could help by sending them food, water, and money so they can get a better education and not get sick. 
by sending them money they can have money to buy foods, water and anything else they need to survive. all the food america has and waists can be given to people in poverty. all the clothes we dont want, need and dont wear could be sent to them also. we dont realize how much we have and how little other have.
this article should be put in news papers, on television, on the radio and in magazines. everybody should know about this so they are alert about what goes on in other parts of the globe. i willing to make a change and a big change. i usually throw away my clothes but i think im gonna start sending my clothes do charities and going them to homeless people.
so yes im convinced that we are able to win this fight against poverty.",1
1221_020025943.docx,"fixing the world, hopeless
based on the article, the author didn’t convince me that “winning the fight against poverty is achiveable in our lifetime.” one reason it’s impossible is because u.s.a barely has good economy so how will africa be able to grow their economy. second, everybody in the world these day are selfish and greedy. finally, god said through the bible that there was going to be poverty in the world. because of those various reasons i believe that that author didn’t convince me that “winning the fight against poverty is achievable in our lifetime.”
	the first reason is that u.s.a doesn’t have a good economy so why will africa. one fact is that the africans get paid 1 dollar a day. for example, the bed nets cost 5 dollars and they get paid 30 dollars a month. so 1 bed net would cost the 1/6 of their monthly payment.",2
1031_020031344.docx,"i think that the goal that the millennium village in sauri, kenya set is achievable if people from all around the world help and donate money or items. people in kenya may be poor, but people in america, china, and other countries aren’t. they could help donating. i think she does convince me that it is achievable. 
	the reason why i believe in her, is because she already had so much change from 2004 to 2008. “the people of sauri had made amazing progress in just four years.” they had made so much progress in just four years, by having free medicine, running water and electricity, fertilizer, seeds, bed nets, and tools. the schools doesn’t charge money anymore and they have free lunch to all the students. 
	people had stopped having malaria because of all the bed nets that the millennium project have provided. “bed nets are used in every sleeping site in sauri.” that have brought a major change to sauri, espicially the children, because children used to die every day of malaria, and people didn’t have enough money for medicine. 
	the farmers didn’t have to worry anymore, about the crops, because they have fertilizer and running water. their families won’t starve, and the children won’t get sick. “the hunger crisis has been addressed with fertilizer and seeds, as well as tools to maintain the food supply.” i think the project is already changing lives. 
	so, in conclusion, i really think the goal is achievable. they already had amazing progress. if everyone helped, they would no longer be poor.",2
1102_020019996.docx,"i believe that yes, we can defeat poverty in the world. i think that we can because people over the years have donased to good causes, and everyone who can pitch in could help. it worries me that people have to dream about having good crops and they have to share 1 bed with 4 other people and they have an unlikely chance of surviving dere to disease. from 2004-2008, which is not a really long time, things have changed massively in 80 villages in sauri, africa. for these reasons, i believe that everyone who is legible to pitch in to defeat can help this cause.",1
128691Y2_000474615.docx,"yes, this article convinced me that, “winning the fight against poverty is achievable in our lifetime.”
	reading about the amazing progress the people of sauri have made in just 4 years persuades me to think that proverty across the world can come to an end.
	hospitals without meds or a doctor can work towards medicine for most common diseases, free of charge like the yala sub-district hospital did.
children who aren’t educated because of fee’s and charges can now go to school without worring about funds, like kids in sauri, keya did.
	farmers who cant afford fertilizers. so they can grow crops to feed their families can raise money for fertilizers, with the help of everyone.
this article makes, me apprechiate what i have more! because even though were going through a recession, it’s still isn’t bad as poverty in keya as well as other parts of the world.",2
112601Y3_100230281.docx,"yes because if  no one helps sauri with electricity. 2. they have very little school supplies. 3 they have no water. 
	if sauri continues not to have electricity people are going to die in the hosipital. parents wont be able to cook dinner because of no light. everything has to be done by hand because of no electricity. its very hot in sauri so if they don’t have cooling systems they don’t have anyhting to make then cool down. they also don’t have phones because of no electricity or phone towers. 
	the school supplies is going low. the kids don’t have many books. its hard for kids to focus in school. kids don’t have a mid day meal to eat so at the end of the school day they don’t have any energy. the kids have to work hard to get an education. 
	the children and adults have no water so people are dying. children take baths in dirty water because there is no clean water. also if they drink water its dirty. the children get sick when they drink the dirty water. when the kids and adults eat there hands are dirty because there is no clean water. 
sauri needs water. school supples. they also need electricity. they mainly need to get out of poverty. the kids are getting diseases and dying. sauri needs help.",1
123501Y2_000519370.docx,"yes, because they were getting to a great start in over 4 years. i believe that anything is possible. i also believe that if we all help each other we can stop poverty now but i know it will take alot of work.
	we can also change them from using generators to them using light bulbs.",1
121601Y3_000572331.docx,"yes, the author convinced me that “winning the fight against poverty is achievable in our lifetime” because the progress in sauri, kenya was amazing in just four years. when the author of the article went to sauri in 2004, there were lots of problems in sauri. the hospitl couldn’t treat patients because they didn’t have the medicine or the patients couldn’t afford it. some pateitns are dying with diseases that can be cured. farmers don’t have the right and necessary fertilzier and irrigation meaning their crops willkeep dyiing and will not have enough food for their families. kids in sauri mostly did not attend schools because parents couldn’t afford school fees and some kids are needed to help with chores. the schools had minimal supplies and students worked hard to elarn with the few supplies they ahd. kids didn’t have the energy because there was no midday meal in schools. these problems are big but when the author came back to sauri four years later, the people of sauri made amazing progress. they have solved these problems and lives were improved by the millenium villages project in sauri, kenya. these were very hard and huge problems but they made amazing progress in just four years! 
this amazing progress convinced me that “winnign the fight against poverty is achievable in our lifetime” even though it will be hard and long time.",2
1102_020045352.docx,"i belive that poverty is achievable in our lifetime. there are alot of example from the text that show, at this rate it will happen. i think this because at the time in 2008 we were one 3rd away to 2025 and what they accomplished then was a big step and i think they were about a 1/3 way there. a reason i have to support that is big changes happened in 80 villages in africa and there are a lot of villages in africa.
some examples i have to support my theory are that school fees are free and because of that more kids will grow and learn. they could grow up and use that knowlede and possable make a difference them selves. also, now that there are hospitals with water there will be so many more kids to survive, go to school, and possably make that difference. my last example is that there is fertilizer and that will grow food. that food can go in a school where the kids can grow and make a difference.
in my opinion, the fact that school fees are free and that is the most important because they can grow up and that means there will be more succesful people in the world. overall i think poverty can be accomplished by 2025.",3
112501Y2_100133944.docx,"i would say yes because in just 4 year the people in sauri have made a outstanding chage. i we keep working to help them this will definitely be done and history by 2015 with no dought. 
in this article it says a disease named malaria is going around. people are dying and getting very sick. like were doing with cancer we should make lots of cures for this. if we could do that we would save millions of live. if everyone on earth sent them $5 dallors they would have enough protection from maliaria for 5 years. we could achieve that. 
the article also says that the kids in sauri don’t get lunch so they cant concientrate very well in class. i we sent them money to buy food they could have a better education. with a better education they could learn how to get out of poverty for there family. 
this might be a hard task but i think we could do it. my dad and i send money to st jude and we could sent stuff to the people in sauri africa too. we can do it if we all try and help the people in poverty",2
112591Y2_000569988.docx,"yes, because if they have to battle and take care of family's they should either get more jobs or upgrade there bussinesses. there supply has shrunk either because people are'nt working hard enough or people keep dying or it's just that they dont wont to work cause it's to hard/to tireing. they could have treatments to cure malaria but since they might not bedoing what there economy needs to do. they are not going to get paid and they are not going to keep a family in place. the main thing they should be concerned about is a civil right to an education! because you people never know what the people in africa could think of when they get smarter than could make bussinesses make jobs for other people come up with there own medicines to cure malaria cure lepracy all those things they could come up with. i just hope and pray that they will have a better life, and fight poverty.",1
1291_020029092.docx,"moilanen_020029092
i think the author meant that it would take a long time to get everyone out of poverty because there was a lot of people in sauri, kenya and some other people may have incurable diseases and people might get malaria from mosquitoes and the irrigation might run out because they need it to drink, water crops, and maybe wash out an open wound instead of using alchol. text 3 – 4 does support my answer because they needed water and other things, like school supplies. it also supports my answer because “winning the fight against poverty is achievable in our lifetime” may mean that there are a lot of people in kenya, but i think it means that it may take some time, but we achieve it sooner or later.
",2
108501Y1_100221896.docx,"i think that the author wanted to tell kids about kenya because the author wanted to inform to us about why we are needed to help poverty continents like africa and what they go through. also because the author wants us to learn that helping other people, can change their lives. 
kenya was a poverty city in africa that did not have a lot of things, kenya people wore tattered clothes and had no shoes. kenya had a hospital that was in bad shape. this hospital had no running water, electricity, and no doctors. also the hospital had no medicine treatment that would help people. kids had to share beds and so did adults. people could not afford some treatments. malaria, from mosquitoes affected people also. people did not have net-beds to stop the mosquitoes and no medicines to prevent malaria from affecting them. farmers had no fertilizer or water to grow crops because they did not have the money. people were dying from hunger, parents could not afford school fees, and their were no school supplies. also even when kids went to school, they had trouble consentrating because they did not have meals at school. this all happened in 2004. now, 4 years later the year of 2008, things began to change. water was connected to the hospital, bed nets were at every site, the hospital had medicine and free charge, a generator was in the hospital for electricity, farmers had tools now, fertilizer, water, school supplies was in schools, and they had meals. so now you see how kenya changed one step at a time.",4
